,artist_name,track_name,track_id,popularity,artist_id,artists_id,artists_names,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
50572,Soul Asylum,Tied to the Tracks,6hOGYSxAr9gQcH4z0uprpz,0,02da1vDJ2hWqfK7aJL6SJm,['02da1vDJ2hWqfK7aJL6SJm'],['Soul Asylum'],2022,post-grunge,0.279,0.809,5,-12.225,1,0.0782,5.93e-05,0.0,0.274,0.762,91.947,audio_features,6hOGYSxAr9gQcH4z0uprpz,spotify:track:6hOGYSxAr9gQcH4z0uprpz,https://api.spotify.com/v1/tracks/6hOGYSxAr9gQcH4z0uprpz,https://api.spotify.com/v1/audio-analysis/6hOGYSxAr9gQcH4z0uprpz,165893,4
44723,Erin Rae,Can't See Stars (feat. Kevin Morby),4vDEQxivxtfbgmEHtsJ29H,49,167VlZ0C0ewQbgKexRFcs6,"['167VlZ0C0ewQbgKexRFcs6', '6fxk3UXHTFYET8qCT9WlBF']","['Erin Rae', 'Kevin Morby']",2022,indie folk,0.665,0.546,10,-6.605,1,0.0292,0.0565,0.00134,0.0668,0.746,141.915,audio_features,4vDEQxivxtfbgmEHtsJ29H,spotify:track:4vDEQxivxtfbgmEHtsJ29H,https://api.spotify.com/v1/tracks/4vDEQxivxtfbgmEHtsJ29H,https://api.spotify.com/v1/audio-analysis/4vDEQxivxtfbgmEHtsJ29H,216920,4
49808,Calibre 50,Javier El De Los Llanos,0niOcPkAvx6l9Aaw7yTocZ,0,4jogXSSvlyMkODGSZ2wc2P,['4jogXSSvlyMkODGSZ2wc2P'],['Calibre 50'],2022,musica mexicana,0.782,0.657,1,-5.418,1,0.0426,0.447,0.0,0.071,0.934,105.009,audio_features,0niOcPkAvx6l9Aaw7yTocZ,spotify:track:0niOcPkAvx6l9Aaw7yTocZ,https://api.spotify.com/v1/tracks/0niOcPkAvx6l9Aaw7yTocZ,https://api.spotify.com/v1/audio-analysis/0niOcPkAvx6l9Aaw7yTocZ,205293,3
42568,DC The Don,Donny’s Revenge,3frdeThVLd4zBEwav8t9Qo,57,3YYbAExunnHv5pW7GUZefk,['3YYbAExunnHv5pW7GUZefk'],['DC The Don'],2022,melodic rap,0.778,0.704,11,-5.752,0,0.179,0.055,0.0,0.174,0.701,84.99,audio_features,3frdeThVLd4zBEwav8t9Qo,spotify:track:3frdeThVLd4zBEwav8t9Qo,https://api.spotify.com/v1/tracks/3frdeThVLd4zBEwav8t9Qo,https://api.spotify.com/v1/audio-analysis/3frdeThVLd4zBEwav8t9Qo,152466,4
48583,Donny Hathaway,"Love, Love, Love",53ZRlP6Vv96bG0mc25DW2u,51,0HU0U9kdXEHZVxUNbuQe8S,['0HU0U9kdXEHZVxUNbuQe8S'],['Donny Hathaway'],2017,neo soul,0.497,0.636,8,-8.71,1,0.0723,0.683,0.0,0.228,0.69,93.777,audio_features,53ZRlP6Vv96bG0mc25DW2u,spotify:track:53ZRlP6Vv96bG0mc25DW2u,https://api.spotify.com/v1/tracks/53ZRlP6Vv96bG0mc25DW2u,https://api.spotify.com/v1/audio-analysis/53ZRlP6Vv96bG0mc25DW2u,204056,4
54774,Ava Max,Salt,5iyZwawawLjHYpX4MxUKVF,76,4npEfmQ6YuiwW1GpUmaq3F,['4npEfmQ6YuiwW1GpUmaq3F'],['Ava Max'],2020,pop,0.693,0.835,6,-3.242,1,0.0624,0.131,0.0,0.073,0.744,128.052,audio_features,5iyZwawawLjHYpX4MxUKVF,spotify:track:5iyZwawawLjHYpX4MxUKVF,https://api.spotify.com/v1/tracks/5iyZwawawLjHYpX4MxUKVF,https://api.spotify.com/v1/audio-analysis/5iyZwawawLjHYpX4MxUKVF,180283,4
54020,Shawn Mendes,Call My Friends,6KVxMOxlSYpC5nrvyWhYhx,59,7n2wHs1TKAczGzO7Dd2rGr,['7n2wHs1TKAczGzO7Dd2rGr'],['Shawn Mendes'],2020,viral pop,0.53,0.79,7,-5.031,1,0.0344,0.0512,1.07e-06,0.122,0.438,146.09,audio_features,6KVxMOxlSYpC5nrvyWhYhx,spotify:track:6KVxMOxlSYpC5nrvyWhYhx,https://api.spotify.com/v1/tracks/6KVxMOxlSYpC5nrvyWhYhx,https://api.spotify.com/v1/audio-analysis/6KVxMOxlSYpC5nrvyWhYhx,171078,4
33849,Grateful Dead,Uncle John's Band - 2015 Remaster,0qifvLnj6ntjYe18lFY3WP,30,4TMHGUX5WI7OOm53PqSDAT,['4TMHGUX5WI7OOm53PqSDAT'],['Grateful Dead'],2015,classic rock,0.712,0.359,7,-12.464,1,0.0819,0.501,0.0,0.129,0.864,136.634,audio_features,0qifvLnj6ntjYe18lFY3WP,spotify:track:0qifvLnj6ntjYe18lFY3WP,https://api.spotify.com/v1/tracks/0qifvLnj6ntjYe18lFY3WP,https://api.spotify.com/v1/audio-analysis/0qifvLnj6ntjYe18lFY3WP,284373,4
2948,Kiana Ledé,Ur Best Friend (with Kehlani),1gsYCXkisSnnjBb3qwYZoc,69,7jZMxhsB8djyIbYmoiJSTs,"['7jZMxhsB8djyIbYmoiJSTs', '0cGUm45nv7Z6M6qdXYQGTX']","['Kiana Ledé', 'Kehlani']",2021,r&b,0.565,0.531,2,-6.09,1,0.197,0.497,1.94e-06,0.102,0.237,129.424,audio_features,1gsYCXkisSnnjBb3qwYZoc,spotify:track:1gsYCXkisSnnjBb3qwYZoc,https://api.spotify.com/v1/tracks/1gsYCXkisSnnjBb3qwYZoc,https://api.spotify.com/v1/audio-analysis/1gsYCXkisSnnjBb3qwYZoc,182858,4
36493,Ice Nine Kills,Communion Of The Cursed,19tyg2Ons2b39L4QVPLq4I,53,52qKfVcIV4GS8A8Vay2xtt,['52qKfVcIV4GS8A8Vay2xtt'],['Ice Nine Kills'],2015,metal,0.401,0.992,1,-3.023,1,0.162,0.0016,0.0001,0.0824,0.143,150.149,audio_features,19tyg2Ons2b39L4QVPLq4I,spotify:track:19tyg2Ons2b39L4QVPLq4I,https://api.spotify.com/v1/tracks/19tyg2Ons2b39L4QVPLq4I,https://api.spotify.com/v1/audio-analysis/19tyg2Ons2b39L4QVPLq4I,270413,4
